player_id,registration_date,days_since_registration,segment,total_playtime_hours,session_frequency_per_week,avg_session_duration_min,total_spending_usd,days_since_last_login,achievement_count,friend_count,chat_messages_sent,in_game_purchases_count,level_reached,churn_probability,churned_7day,churned_30day
P8085,2025-08-15,136,Casual,40.8,4.2,23.0,0.0,25,45,5,2,0,20,0.8077,1,0
P9344,2025-10-27,63,Whale,159.1,9.3,138.9,799.65,7,97,46,286,53,79,0.0,1,0
P1001,2025-11-23,36,Whale,123.2,5.8,94.6,873.7,1,97,39,210,58,61,0.0,0,0
P1756,2025-12-11,18,Regular,32.5,5.3,22.9,29.94,2,75,12,88,1,16,0.2424,0,0
P10818,2025-11-19,40,Casual,23.0,0.6,24.0,0.0,13,45,3,0,0,11,0.7516,1,0
P10636,2025-12-10,19,Hardcore,85.9,14.0,81.3,112.5,2,112,35,153,7,42,0.0193,0,0
P4570,2025-12-15,14,Casual,12.8,4.3,18.1,0.0,20,45,1,20,0,6,0.95,1,0
P6615,2025-11-26,33,Hardcore,194.7,8.9,49.8,184.29,4,112,39,105,12,97,0.0,0,0
P6340,2025-09-10,110,Hardcore,126.2,9.6,214.3,100.32,3,112,28,131,6,63,0.0,0,0
P5315,2025-09-06,114,Casual,27.4,4.3,5.0,0.0,0,45,4,1,0,13,0.2801,0,0
P10769,2025-11-19,40,Casual,25.3,1.5,22.1,0.0,1,45,2,1,0,12,0.4222,0,0
P2587,2025-12-25,4,Regular,46.3,3.5,77.5,20.55,1,75,4,72,1,23,0.2058,0,0
P4369,2025-11-01,58,Regular,34.7,4.0,38.1,40.27,4,75,21,22,2,17,0.2305,0,0
P2811,2025-04-19,254,Hardcore,178.2,17.0,113.4,76.56,2,112,58,176,5,89,0.0,0,0
P4848,2025-10-22,68,Regular,63.3,2.9,35.4,15.35,0,75,8,12,1,31,0.0496,0,0
P8313,2025-10-27,63,Casual,7.8,1.3,14.6,0.0,9,45,7,0,0,3,0.6187,1,0
P2776,2025-12-17,12,Regular,45.4,7.8,28.1,12.06,0,75,29,20,1,22,0.1252,0,0
P7635,2025-10-25,65,Casual,1.8,1.7,5.0,0.0,2,45,1,0,0,0,0.459,0,0
P5382,2025-11-28,31,Regular,18.0,2.2,15.8,35.76,5,75,13,71,2,9,0.3303,0,0
P9942,2025-11-12,47,Hardcore,170.2,19.8,122.2,39.72,0,112,67,125,2,85,0.0,0,0
P2951,2025-12-17,12,Casual,3.0,1.3,7.2,0.0,0,45,8,0,0,1,0.3998,0,0
P3999,2025-12-26,3,Hardcore,129.7,13.2,101.5,74.12,0,112,31,251,4,64,0.0,0,0
P3489,2025-08-10,141,Casual,42.9,3.6,5.0,0.0,4,45,9,5,0,21,0.4779,0,0
P9978,2025-11-30,29,Regular,44.9,5.2,51.8,13.78,5,75,22,137,1,22,0.3536,0,0
P3743,2025-12-11,18,Casual,1.0,1.8,21.5,0.0,2,45,1,11,0,0,0.5503,0,0
P10474,2025-11-25,34,Hardcore,116.2,8.4,90.5,134.45,0,112,20,143,8,58,0.0,0,0
P4542,2025-12-25,4,Casual,8.2,2.0,20.9,0.0,0,45,1,2,0,4,0.4511,0,0
P7560,2025-12-28,1,Casual,2.8,2.9,26.4,0.0,4,45,9,3,0,1,0.565,0,0
P4753,2025-12-05,24,Regular,49.5,4.7,34.5,65.22,5,75,18,69,4,24,0.3178,0,0
